"lnm_rate","treated","state","year"
-8.12703418731689,0,"Iowa",1932
-10.9215879440308,1,"Iowa",1933
-8.24514293670654,0,"Iowa",1933
-10.6200752258301,1,"Iowa",1934
-8.30122947692871,0,"Iowa",1934
-10.4995346069336,1,"Iowa",1935
-8.25666904449463,0,"Iowa",1935
-10.3055086135864,1,"Iowa",1936
-8.33109664916992,0,"Iowa",1936
-10.0755643844604,1,"Iowa",1937
-8.4437370300293,0,"Iowa",1937
-10.8296499252319,1,"Iowa",1938
-8.5493106842041,0,"Iowa",1938
-11.5662822723389,1,"Iowa",1939
-8.55812740325928,0,"Iowa",1939
-11.6559505462646,1,"Iowa",1940
-8.67164611816406,0,"Iowa",1940
-12.5530252456665,1,"Iowa",1941
-8.77389812469482,0,"Iowa",1941
-12.5562715530396,1,"Iowa",1942
-8.69671154022217,0,"Iowa",1942
-11.9841432571411,1,"Iowa",1943
-8.77784633636475,0,"Iowa",1943
-10.6794910430908,1,"Kansas",1925
-7.71642971038818,0,"Kansas",1925
-10.9267568588257,1,"Kansas",1926
-7.81661415100098,0,"Kansas",1926
-10.2098236083984,1,"Kansas",1927
-7.96008062362671,0,"Kansas",1927
-10.5852136611938,1,"Kansas",1928
-7.82466506958008,0,"Kansas",1928
-10.3638181686401,1,"Kansas",1929
-7.89027500152588,0,"Kansas",1929
-10.7337417602539,1,"Kansas",1930
-7.92375135421753,0,"Kansas",1930
-11.3075590133667,1,"Kansas",1931
-7.89770317077637,0,"Kansas",1931
-10.9730386734009,1,"Kansas",1932
-8.0220422744751,0,"Kansas",1932
-10.7709150314331,1,"Kansas",1933
-8.09235572814941,0,"Kansas",1933
-10.874813079834,1,"Kansas",1934
-8.17825698852539,0,"Kansas",1934
-10.5138034820557,1,"Kansas",1935
-8.13056087493896,0,"Kansas",1935
-10.0520257949829,1,"Kansas",1936
-8.12990474700928,0,"Kansas",1936
-10.2274465560913,1,"Kansas",1937
-8.23295211791992,0,"Kansas",1937
-11.0454139709473,1,"Kansas",1938
-8.35592555999756,0,"Kansas",1938
-11.7002487182617,1,"Kansas",1939
-8.37281703948975,0,"Kansas",1939
-12.2066440582275,1,"Kansas",1940
-8.29907512664795,0,"Kansas",1940
-12.6178789138794,1,"Kansas",1941
-8.40575122833252,0,"Kansas",1941
-12.4694652557373,1,"Kansas",1942
-8.33315658569336,0,"Kansas",1942
-11.6484909057617,1,"Kansas",1943
-8.57753467559814,0,"Kansas",1943
-10.8062000274658,1,"Kentucky",1925
-6.7343282699585,0,"Kentucky",1925
-10.7028131484985,1,"Kentucky",1926
-6.70832109451294,0,"Kentucky",1926
-10.8824405670166,1,"Kentucky",1927
-6.82343530654907,0,"Kentucky",1927
-10.7009162902832,1,"Kentucky",1928
-6.83692502975464,0,"Kentucky",1928
-10.2046689987183,1,"Kentucky",1929
-6.85221004486084,0,"Kentucky",1929
