id,time,earnings,age,agesq,school,ethblack,urban,regne,regnc,regw,regs,asvabc
1420,0,9.520633698,17,289,8,0,1,0,0,0,1,49
1428,0,8.911314011,20,400,12,0,1,0,0,0,1,55.75
1435,0,7.616507053,19,361,12,1,1,0,0,0,1,37.25
1458,0,9.520633698,20,400,12,0,1,0,0,0,1,49.5
1462,0,12.94806194,22,484,10,0,1,0,0,0,1,51.25
1463,0,7.616507053,21,441,12,0,1,0,0,0,1,51.5
1474,0,8.797063828,22,484,13,0,1,0,0,0,1,55.25
1477,0,8.568570137,21,441,13,0,1,0,0,0,1,54.5
1478,0,10.73927593,20,400,13,0,1,0,0,0,1,55.75
1481,0,8.682816505,22,484,16,1,1,0,0,0,1,53.25
1482,0,5.579090118,21,441,12,1,1,0,0,0,1,32
1488,0,8.568570137,21,441,12,1,1,0,0,0,1,36
1492,0,9.996664047,23,529,13,0,0,0,0,0,1,60
1495,0,8.854187965,22,484,12,0,0,0,0,0,1,44.25
1499,0,8.016374588,22,484,12,0,0,0,0,0,1,51.75
1507,0,6.512113094,18,324,12,0,1,0,0,0,1,50.25
1516,0,7.27376461,23,529,12,1,1,0,0,0,1,37.75
1517,0,6.569237232,19,361,12,1,1,0,0,0,1,33.75
1520,0,7.921167374,23,529,12,1,1,0,0,0,1,34
1527,0,7.330886841,23,529,12,1,1,0,0,0,1,31.75
1529,0,5.921833038,19,361,12,1,1,0,0,0,1,47
1539,0,6.664442062,21,441,12,0,1,0,0,1,0,53.5
1545,0,6.664442062,20,400,12,0,1,0,0,1,0,37.25
1550,0,11.90079212,20,400,12,0,1,0,0,1,0,55.75
1553,0,9.520633698,20,400,12,0,0,0,0,1,0,60.75
1554,0,7.178557873,20,400,12,0,1,0,0,0,1,52.75
1568,0,6.950063705,19,361,12,0,1,0,0,1,0,55.25
1570,0,7.616507053,20,400,12,0,1,0,0,1,0,51
1575,0,8.854187965,22,484,14,0,1,0,0,1,0,48.5
1584,0,8.321032524,16,256,9,0,1,0,0,1,0,58.75
1594,0,8.30199337,22,484,12,0,1,0,0,1,0,51.75
1599,0,7.159516811,22,484,12,0,1,0,0,1,0,53.75
1605,0,8.30199337,21,441,12,0,1,0,0,1,0,50.25
1607,0,5.902792454,22,484,12,0,1,0,0,1,0,55
